mzp,mA,exp,obs
400,300,0.267012,0
400,400,0.117017,0
600,300,12.7958,0
600,400,0.277376,0
800,300,25.1896,0.65689
800,400,7.74257,0.337278
800,500,1.06253,0.236733
1000,400,15.3753,0.40583
1000,500,3.72852,0.663141
1000,600,0.683655,0.615329
1200,500,6.05419,0.220845
1200,600,2.13463,0
1200,700,0.559425,0.470872
1400,500,8.13479,0
1400,600,3.23352,0
1400,700,1.01819,0.0112144
1400,800,0.334729,0.167698
1600,300,21.4519,0
1600,500,7.03037,0
1600,600,3.49032,0
1600,700,1.54084,0
1600,800,0.607291,0
1800,500,5.11701,0
1800,600,2.67786,0
1800,700,1.38753,0
1800,800,0.666136,0
2000,400,6.18531,0
2000,500,3.46529,0
2000,600,1.856,0
2000,700,1.02925,0
2000,800,0.548982,0
2200,300,7.36127,0
2200,400,4.00075,0
2200,500,2.27659,0
2200,600,1.26901,0
2200,700,0.714449,0
2400,300,4.87472,0
2400,400,2.62805,0
2400,500,1.46656,0
2400,600,0.83448,0
2400,700,0.477434,0
2600,300,3.16699,0
2600,400,1.71453,0
2600,500,0.941715,0
2600,600,0.536071,0
2600,700,0.321176,0
2800,300,2.06093,0
2800,400,1.07971,0
2800,500,0.595222,0
2800,600,0.347354,0
3000,300,1.30911,0
3000,400,0.69042,0
3000,600,0.225327,0